team,season,division,name,jersey,position,height,major,hometown,high_school,previous_school,url,class,ncaa_id
California,2026,,Delphine Ayitey-Hammond,1,GK,5-11,,"London, England",Epsom College,,https://calbears.com/sports/field-hockey/roster/delphine-ayitey-hammond/27707,Junior,107
California,2026,,Samantha Reder,2,F,5-4,Business,"Mount Kisco, NY",Fox Lane High School,,https://calbears.com/sports/field-hockey/roster/samantha-reder/27728,Sophomore,107
California,2026,,Cato Arlman,3,M,5-7,,"Amsterdam, The Netherlands",,,https://calbears.com/sports/field-hockey/roster/cato-arlman/27840,Freshman,107
California,2026,,Liz Klompmaker,4,F,5-9,,"Groningen, The Netherlands",Praedinius Gymnasium,,https://calbears.com/sports/field-hockey/roster/liz-klompmaker/27719,Junior,107
California,2026,,Holly Pears,6,F,5-5,,"Yorkshire, England",St Peter's School,,https://calbears.com/sports/field-hockey/roster/holly-pears/27725,Senior,107
California,2026,,Josefina Moyano,7,F,5-8,Cognitive Science,"Cordoba, Argentina",Mark Twain School,,https://calbears.com/sports/field-hockey/roster/josefina-moyano/27723,Sophomore,107
California,2026,,Maya Hoepfner,9,M,6-1,,"Frankfurt, Germany",Schillerschule,,https://calbears.com/sports/field-hockey/roster/maya-hoepfner/27714,Junior,107
California,2026,,Laura Becker,10,M,5-7,,"Dusseldorf, Germany",Haileybury,,https://calbears.com/sports/field-hockey/roster/laura-becker/27837,Freshman,107
California,2026,,Agustina Daud,11,M,5-3,Cognitive Science,"Buenos Aires, Argentina",Saint Mary of the Hills School,,https://calbears.com/sports/field-hockey/roster/agustina-daud/27710,Sophomore,107
California,2026,,Flore Uges,13,D,6-0,,"Den Haag, The Netherlands",Christelijk Gymnasium Sorghvliet,,https://calbears.com/sports/field-hockey/roster/flore-uges/27839,Freshman,107
California,2026,,Anika Miedema,15,M,5-8,Undeclared,"Edinburgh, Scotland",Edinburgh Academy,,https://calbears.com/sports/field-hockey/roster/anika-miedema/27722,Sophomore,107
California,2026,,Jaiya Labana,16,F,5-7,,"Mountain View, CA",Saint Francis HS,,https://calbears.com/sports/field-hockey/roster/jaiya-labana/27720,Senior,107
California,2026,,Mia DiGiulio,19,D,5-8,,"San Marcos, Calif.",La Costa Canyon,,https://calbears.com/sports/field-hockey/roster/mia-digiulio/27711,Junior,107
California,2026,,Jessica Lewis,21,M,5-6,,"Sevenoaks, England",The Judd School,,https://calbears.com/sports/field-hockey/roster/jessica-lewis/27721,Junior,107
California,2026,,Maria Scocco,23,F,,,"Buenos Aires, Argentina",,,https://calbears.com/sports/field-hockey/roster/maria-scocco/27838,Freshman,107
California,2026,,Adya Kadam,24,M,5-6,Engineering,"Fremont, Calif.",Willow Glen HS,,https://calbears.com/sports/field-hockey/roster/adya-kadam/27717,Sophomore,107
California,2026,,Elizabeth Edmonston,26,F,5-4,,"Poway, CA",Poway HS,,https://calbears.com/sports/field-hockey/roster/elizabeth-edmonston/27712,Senior,107
California,2026,,Hannah Ward,28,D,5-2,Nutrition,"Guelph, Ontario",Lexington High School,,https://calbears.com/sports/field-hockey/roster/hannah-ward/27732,Junior,107
California,2026,,Emma Becker,31,D,5-9,Undeclared,"Dusseldorf, Germany",,,https://calbears.com/sports/field-hockey/roster/emma-becker/27708,Sophomore,107
California,2026,,Carine Van Wiechen,36,GK,5-7,,"Rotterdam, The Netherlands",,,https://calbears.com/sports/field-hockey/roster/carine-van-wiechen/27841,Graduate Student,107
California,2026,,Lauren Halenkamp,44,GK,5-9,Computer Science,"Monument, Colorado",Palmer Ridge High School,,https://calbears.com/sports/field-hockey/roster/lauren-halenkamp/27713,Senior,107
UC Davis,2026,,Aidan Claeys,00,GK,5-9,Anthropology,"Los Altos, Calif.",,,https://ucdavisaggies.com/sports/field-hockey/roster/aidan-claeys/20865,Sophomore,108
UC Davis,2026,,Molly Main,1,F,5-5,"Neurobiology, Physiology, and Behavior","West Chester, PA",,,https://ucdavisaggies.com/sports/field-hockey/roster/molly-main/20875,Senior,108
UC Davis,2026,,Sutton Van Dyk,2,M,5-9,Business,"West Vancouver, BC, Canada",,,https://ucdavisaggies.com/sports/field-hockey/roster/sutton-van-dyk/20879,Sophomore,108
UC Davis,2026,,Claire Anderson,3,M,5-3,,"Oklahoma City, Okla.",,,https://ucdavisaggies.com/sports/field-hockey/roster/claire-anderson/20862,Sophomore,108
UC Davis,2026,,Ella Franken,4,M,5-11,International Relations,"Den Bosch, Noord-Brabant, The Netherlands",,,https://ucdavisaggies.com/sports/field-hockey/roster/ella-franken/20868,Senior,108
UC Davis,2026,,Morgan Caldera,5,M,5-4,Cognitive Science,"Santa Clara, Calif.",,,https://ucdavisaggies.com/sports/field-hockey/roster/morgan-caldera/20864,Senior,108
UC Davis,2026,,Emma Wood,6,D,5-6,,"East Grinstead, UK",,,https://ucdavisaggies.com/sports/field-hockey/roster/emma-wood/20880,Sophomore,108
UC Davis,2026,,Charlotte Connally,7,M,5-5,,"Louisville, Ky.",,,https://ucdavisaggies.com/sports/field-hockey/roster/charlotte-connally/20889,Freshman,108
UC Davis,2026,,Addie Goldstein,8,F,5-2,,"Glen Ridge, N.J.",,,https://ucdavisaggies.com/sports/field-hockey/roster/addie-goldstein/20891,Freshman,108
UC Davis,2026,,Katie Kim,9,M,5-6,Psychology and Sociology,"Rancho Santa Fe, Calif.",,,https://ucdavisaggies.com/sports/field-hockey/roster/katie-kim/20871,Senior,108
UC Davis,2026,,Mia Edwards,10,M,5-3,,"Portsmouth, N.H.",,,https://ucdavisaggies.com/sports/field-hockey/roster/mia-edwards/20893,Senior,108
UC Davis,2026,,Oona Buckley,11,M,5-4,,"Bethesda, MD",,,https://ucdavisaggies.com/sports/field-hockey/roster/oona-buckley/20863,Junior,108
UC Davis,2026,,Larissa Roldan,12,M,5-2,,"San Diego, Calif.",,,https://ucdavisaggies.com/sports/field-hockey/roster/larissa-roldan/20877,Junior,108
UC Davis,2026,,Elle Louise Kocmond,13,D,5-6,,"Charlotte, NC",,,https://ucdavisaggies.com/sports/field-hockey/roster/elle-louise-kocmond/20872,Junior,108
UC Davis,2026,,Linnea Liljenstrand-Mjoen,14,,5-5,International Relations,"San Diego, Calif.",,,https://ucdavisaggies.com/sports/field-hockey/roster/linnea-liljenstrand-mjoen/20873,Sophomore,108
UC Davis,2026,,Tristen Stanimir,15,M,5-1,,"West Vancouver, BC, Canada",,,https://ucdavisaggies.com/sports/field-hockey/roster/tristen-stanimir/20890,Freshman,108
UC Davis,2026,,Jamie Dempsey,17,D,5-6,,"San Martin, Calif.",,,https://ucdavisaggies.com/sports/field-hockey/roster/jamie-dempsey/20867,Junior,108
UC Davis,2026,,Cosi Karleski,20,M,5-8,,"Louisville, KY",,,https://ucdavisaggies.com/sports/field-hockey/roster/cosi-karleski/20870,Sophomore,108
UC Davis,2026,,Clara Bruns,21,,5-9,,"Houston, Texas",,,https://ucdavisaggies.com/sports/field-hockey/roster/clara-bruns/20892,Freshman,108
UC Davis,2026,,Clare Torres,23,,5-5,,"San Jose, Calif.",,,https://ucdavisaggies.com/sports/field-hockey/roster/clare-torres/20878,Sophomore,108
UC Davis,2026,,Catalina Stefanich,28,,,,"Buenos Aires, Argentina",,,https://ucdavisaggies.com/sports/field-hockey/roster/catalina-stefanich/20888,Freshman,108
UC Davis,2026,,Addy Collingwood,34,GK,5-3,Business,"Collegeville, Pa.",,,https://ucdavisaggies.com/sports/field-hockey/roster/addy-collingwood/20866,Sophomore,108
Queens (NC),2026,,Payson Fowler-Thorsen,1,M,5-4,,"Grantham, N.H.",,,https://queensathletics.com/sports/field-hockey/roster/payson-fowler-thorsen/13338,Freshman,11504
