school,org_id,url,playerstatsurl,matchstatsurl
American,23,https://aueagles.com/sports/field-hockey,https://stats.ncaa.org/team/23/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=23&game_sport_year_ctl_id=16461&stats_player_seq=-100
App State,27,https://appstatesports.com/sports/field-hockey,https://stats.ncaa.org/team/27/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=27&game_sport_year_ctl_id=16461&stats_player_seq=-100
Ball St.,47,https://ballstatesports.com/sports/field-hockey,https://stats.ncaa.org/team/47/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=47&game_sport_year_ctl_id=16461&stats_player_seq=-100
Bellarmine,52,https://athletics.bellarmine.edu/sports/field-hockey,https://stats.ncaa.org/team/52/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=52&game_sport_year_ctl_id=16461&stats_player_seq=-100
Boston College,67,https://bceagles.com/sports/field-hockey,https://stats.ncaa.org/team/67/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=67&game_sport_year_ctl_id=16461&stats_player_seq=-100
Boston U.,68,https://goterriers.com/sports/field-hockey,https://stats.ncaa.org/team/68/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=68&game_sport_year_ctl_id=16461&stats_player_seq=-100
Brown,80,https://brownbears.com/sports/field-hockey,https://stats.ncaa.org/team/80/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=80&game_sport_year_ctl_id=16461&stats_player_seq=-100
Bryant,81,https://bryantbulldogs.com/sports/field-hockey,https://stats.ncaa.org/team/81/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=81&game_sport_year_ctl_id=16461&stats_player_seq=-100
Bucknell,83,https://bucknellbison.com/sports/field-hockey,https://stats.ncaa.org/team/83/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=83&game_sport_year_ctl_id=16461&stats_player_seq=-100
California,107,https://calbears.com/sports/field-hockey,https://stats.ncaa.org/team/107/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=107&game_sport_year_ctl_id=16461&stats_player_seq=-100
Central Mich.,129,https://cmuchippewas.com/sports/field-hockey,https://stats.ncaa.org/team/129/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=129&game_sport_year_ctl_id=16461&stats_player_seq=-100
Colgate,153,https://colgateathletics.com/sports/field-hockey,https://stats.ncaa.org/team/153/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=153&game_sport_year_ctl_id=16461&stats_player_seq=-100
Columbia,158,https://gocolumbialions.com/sports/field-hockey,https://stats.ncaa.org/team/158/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=158&game_sport_year_ctl_id=16461&stats_player_seq=-100
Cornell,167,https://cornellbigred.com/sports/field-hockey,https://stats.ncaa.org/team/167/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=167&game_sport_year_ctl_id=16461&stats_player_seq=-100
Dartmouth,172,https://dartmouthsports.com/sports/field-hockey,https://stats.ncaa.org/team/172/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=172&game_sport_year_ctl_id=16461&stats_player_seq=-100
Davidson,173,https://davidsonwildcats.com/sports/field-hockey,https://stats.ncaa.org/team/173/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=173&game_sport_year_ctl_id=16461&stats_player_seq=-100
Delaware,180,https://bluehens.com/sports/field-hockey,https://stats.ncaa.org/team/180/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=180&game_sport_year_ctl_id=16461&stats_player_seq=-100
Drexel,191,https://drexeldragons.com/sports/field-hockey,https://stats.ncaa.org/team/191/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=191&game_sport_year_ctl_id=16461&stats_player_seq=-100
Duke,193,https://goduke.com/sports/field-hockey,https://stats.ncaa.org/team/193/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=193&game_sport_year_ctl_id=16461&stats_player_seq=-100
Fairfield,220,https://fairfieldstags.com/sports/field-hockey,https://stats.ncaa.org/team/220/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=220&game_sport_year_ctl_id=16461&stats_player_seq=-100
Georgetown,251,https://guhoyas.com/sports/field-hockey,https://stats.ncaa.org/team/251/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=251&game_sport_year_ctl_id=16461&stats_player_seq=-100
Harvard,275,https://gocrimson.com/sports/field-hockey,https://stats.ncaa.org/team/275/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=275&game_sport_year_ctl_id=16461&stats_player_seq=-100
Hofstra,283,https://gohofstra.com/sports/field-hockey,https://stats.ncaa.org/team/283/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=283&game_sport_year_ctl_id=16461&stats_player_seq=-100
Holy Cross,285,https://goholycross.com/sports/field-hockey,https://stats.ncaa.org/team/285/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=285&game_sport_year_ctl_id=16461&stats_player_seq=-100
